MONTH,YEAR,VEHICLE_TYPE,SCENARIO,LGA,VALUE
Jun,2021,RES_SMALL,LOW,Boroondara,5.0
Jun,2021,RES_SMALL,LOW,Boroondara,6.0
Jun,2021,RES_SMALL,LOW,Manningham,1.0
Jun,2021,RES_SMALL,LOW,Manningham,5.0
Jun,2021,RES_SMALL,LOW,Manningham,1.0
Jun,2021,RES_SMALL,LOW,Manningham,4.0
Jun,2021,RES_SMALL,LOW,Manningham,4.0
Jun,2021,RES_SMALL,LOW,Manningham,4.0
Jun,2021,RES_SMALL,LOW,Yarra,18.0
Jun,2021,RES_SMALL,LOW,Boroondara,7.0
Jun,2021,RES_SMALL,LOW,Boroondara,4.0
Jun,2021,RES_SMALL,LOW,Boroondara,9.0
Jun,2021,RES_SMALL,LOW,Boroondara,4.0
Jun,2021,RES_SMALL,LOW,Boroondara,4.0
Jun,2021,RES_SMALL,LOW,Whitehorse,3.0
Jun,2021,RES_SMALL,LOW,Boroondara,2.0
Jun,2021,RES_SMALL,LOW,Whitehorse,6.0
Jun,2021,RES_SMALL,LOW,Whitehorse,4.0
Jun,2021,RES_SMALL,LOW,Maroondah,5.0
Jun,2021,RES_SMALL,LOW,Maroondah,2.0
Jun,2021,RES_SMALL,LOW,Maroondah,5.0
Jun,2021,RES_SMALL,LOW,Maroondah,1.0
Jun,2021,RES_SMALL,LOW,Yarra Ranges,1.0
Jun,2021,RES_SMALL,LOW,Yarra Ranges,2.0
Jun,2021,RES_SMALL,LOW,Stonnington,10.0
Jun,2021,RES_SMALL,LOW,Stonnington,11.0
Jun,2021,RES_SMALL,LOW,Stonnington,4.0
Jun,2021,RES_SMALL,LOW,Stonnington,5.0
Jun,2021,RES_SMALL,LOW,Monash,9.0
Jun,2021,RES_SMALL,LOW,Monash,11.0
Jun,2021,RES_SMALL,LOW,Whitehorse,2.0
Jun,2021,RES_SMALL,LOW,Knox,6.0
Jun,2021,RES_SMALL,LOW,Maroondah,2.0
Jun,2021,RES_SMALL,LOW,Maroondah,2.0
Jun,2021,RES_SMALL,LOW,Maroondah,5.0
Jun,2021,RES_SMALL,LOW,Glen Eira,5.0
Jun,2021,RES_SMALL,LOW,Glen Eira,4.0
Jun,2021,RES_SMALL,LOW,Glen Eira,4.0
Jun,2021,RES_SMALL,LOW,Kingston,7.0
Jun,2021,RES_SMALL,LOW,Monash,4.0
Jun,2021,RES_SMALL,LOW,Monash,1.0
Jun,2021,RES_SMALL,LOW,Monash,5.0
Jun,2021,RES_SMALL,LOW,Monash,2.0
Jun,2021,RES_SMALL,LOW,Greater Dandenong,4.0
Jun,2021,RES_SMALL,LOW,Greater Dandenong,4.0
Jun,2021,RES_SMALL,LOW,Greater Dandenong,4.0
Jun,2021,RES_SMALL,LOW,Greater Dandenong,25.0
Jun,2021,RES_SMALL,LOW,Knox,5.0
Jun,2021,RES_SMALL,LOW,Knox,2.0
Jun,2021,RES_SMALL,LOW,Stonnington,3.0
Jun,2021,RES_SMALL,LOW,Stonnington,3.0
Jun,2021,RES_SMALL,LOW,Port Phillip,2.0
Jun,2021,RES_SMALL,LOW,Glen Eira,2.0
Jun,2021,RES_SMALL,LOW,Bayside,10.0
Jun,2021,RES_SMALL,LOW,Kingston,5.0
Jun,2021,RES_SMALL,LOW,Bayside,1.0
Jun,2021,RES_SMALL,LOW,Bayside,1.0
Jun,2021,RES_SMALL,LOW,Kingston,3.0
Jun,2021,RES_SMALL,LOW,Kingston,4.0
Jun,2021,RES_SMALL,LOW,Kingston,2.0
Jun,2021,RES_SMALL,LOW,Kingston,7.0
Jun,2021,RES_SMALL,LOW,Kingston,2.0
Jun,2021,RES_SMALL,LOW,Kingston,2.0
Jun,2021,RES_SMALL,LOW,Frankston,5.0
Jun,2021,RES_SMALL,LOW,Kingston,3.0
Jun,2021,RES_SMALL,LOW,Glen Eira,5.0
Jun,2021,RES_SMALL,LOW,Port Phillip,5.0
Jun,2021,RES_SMALL,LOW,Port Phillip,3.0
Jun,2021,RES_SMALL,LOW,Port Phillip,7.0
Jun,2021,RES_SMALL,LOW,Whittlesea,2.0
Jun,2021,RES_SMALL,LOW,Whittlesea,2.0
Jun,2021,RES_SMALL,LOW,Whittlesea,4.0
Jun,2021,RES_SMALL,LOW,Whittlesea,1.0
Jun,2021,RES_SMALL,LOW,Yarra Ranges,1.0
Jun,2021,RES_SMALL,LOW,Yarra Ranges,1.0
Jun,2021,RES_SMALL,LOW,Yarra Ranges,1.0
Jun,2021,RES_SMALL,LOW,Yarra Ranges,1.0
Jun,2021,RES_SMALL,LOW,Greater Dandenong,3.0
Jun,2021,RES_SMALL,LOW,Casey,9.0
Jun,2021,RES_SMALL,LOW,Casey,8.0
Jun,2021,RES_SMALL,LOW,Casey,2.0
Jun,2021,RES_SMALL,LOW,Cardinia,4.0
Jun,2021,RES_SMALL,LOW,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,LOW,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,LOW,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,LOW,Mornington Peninsula,1.0
