mode,travel_bounds,full_co2e_tons,gpc_co2e_tons,year,lga
BUS,TOTAL,6843.3189,3421.6594,2018,Knox
MOTORCYCLE,TOTAL,2620.4392,1310.2196,2020,Knox
AUTOMOBILE,TOTAL,347307.9886,192565.285,2023,Manningham
AUTOMOBILE,TOTAL,347692.0653,192967.9822,2022,Manningham
AUTOMOBILE,TOTAL,298249.5154,166549.507,2021,Manningham
AUTOMOBILE,TOTAL,240829.3558,135063.0501,2020,Manningham
AUTOMOBILE,TOTAL,375984.0373,209878.2128,2019,Manningham
AUTOMOBILE,TOTAL,370157.6804,208356.0407,2018,Manningham
BUS,TOTAL,29269.9167,16022.7558,2023,Manningham
BUS,TOTAL,22994.9308,12601.9559,2022,Manningham
BUS,TOTAL,17170.4576,9478.4009,2021,Manningham
BUS,TOTAL,20706.1606,11383.9226,2020,Manningham
BUS,TOTAL,35754.9099,18799.5622,2019,Manningham
BUS,TOTAL,26177.8902,13606.7626,2018,Manningham
MOTORCYCLE,TOTAL,1551.9729,775.9864,2020,Manningham
AUTOMOBILE,TOTAL,267358.2364,143176.7498,2023,Maribyrnong
AUTOMOBILE,TOTAL,285746.4886,153189.0956,2022,Maribyrnong
AUTOMOBILE,TOTAL,246038.8372,132570.2428,2021,Maribyrnong
AUTOMOBILE,TOTAL,198524.2973,107601.7065,2020,Maribyrnong
AUTOMOBILE,TOTAL,286205.9855,154706.2906,2019,Maribyrnong
AUTOMOBILE,TOTAL,280254.7347,152319.4982,2018,Maribyrnong
BUS,TOTAL,11146.3149,6690.5449,2023,Maribyrnong
BUS,TOTAL,8274.96,4929.8249,2022,Maribyrnong
BUS,TOTAL,6148.903,3682.744,2021,Maribyrnong
BUS,TOTAL,7312.8403,4335.1288,2020,Maribyrnong
BUS,TOTAL,1889.428,1889.428,2019,Maribyrnong
BUS,TOTAL,8099.068,4755.619,2018,Maribyrnong
MOTORCYCLE,TOTAL,1423.8989,711.9495,2021,Maribyrnong
MOTORCYCLE,TOTAL,1812.7147,906.3574,2020,Maribyrnong
MOTORCYCLE,TOTAL,2569.405,1284.7025,2019,Maribyrnong
MOTORCYCLE,TOTAL,1534.246,767.123,2018,Maribyrnong
AUTOMOBILE,TOTAL,386794.587,212253.8682,2023,Maroondah
AUTOMOBILE,TOTAL,387264.8523,212934.3473,2022,Maroondah
AUTOMOBILE,TOTAL,332403.166,183784.8354,2021,Maroondah
AUTOMOBILE,TOTAL,270616.8016,150237.3017,2020,Maroondah
AUTOMOBILE,TOTAL,402442.4151,223507.1919,2019,Maroondah
AUTOMOBILE,TOTAL,394000.0951,220534.1059,2018,Maroondah
BUS,TOTAL,11758.53,6668.39,2023,Maroondah
BUS,TOTAL,7677.315,4545.3348,2022,Maroondah
BUS,TOTAL,5880.4607,3482.6012,2021,Maroondah
BUS,TOTAL,5575.8829,2787.9414,2020,Maroondah
BUS,TOTAL,7873.6765,4484.0454,2019,Maroondah
BUS,TOTAL,5281.465,3059.495,2018,Maroondah
MOTORCYCLE,TOTAL,1939.1241,969.5621,2020,Maroondah
AUTOMOBILE,TOTAL,515768.1067,267004.7573,2023,Melbourne
AUTOMOBILE,TOTAL,501060.2791,259908.4894,2022,Melbourne
AUTOMOBILE,TOTAL,401262.6396,208866.5985,2021,Melbourne
AUTOMOBILE,TOTAL,322300.4064,168225.5799,2020,Melbourne
AUTOMOBILE,TOTAL,603424.1119,316830.4532,2019,Melbourne
AUTOMOBILE,TOTAL,650908.8208,341354.638,2018,Melbourne
BUS,TOTAL,1597.672,1597.672,2023,Melbourne
BUS,TOTAL,29947.6056,15693.5804,2022,Melbourne
BUS,TOTAL,18285.1543,9609.9118,2021,Melbourne
BUS,TOTAL,26921.5841,13937.4352,2020,Melbourne
BUS,TOTAL,62190.2304,31994.0915,2019,Melbourne
BUS,TOTAL,45170.5771,22585.2886,2018,Melbourne
MOTORCYCLE,TOTAL,3413.1083,1706.5542,2021,Melbourne
MOTORCYCLE,TOTAL,5219.754,3053.2679,2020,Melbourne
MOTORCYCLE,TOTAL,6647.0675,3323.5337,2019,Melbourne
MOTORCYCLE,TOTAL,4721.3259,2360.663,2018,Melbourne
AUTOMOBILE,TOTAL,326657.473,176262.4896,2023,Bayside
AUTOMOBILE,TOTAL,322024.7731,174015.1845,2022,Bayside
AUTOMOBILE,TOTAL,281959.3351,153650.9576,2021,Bayside
AUTOMOBILE,TOTAL,230009.2279,125821.0249,2020,Bayside
AUTOMOBILE,TOTAL,318294.9357,173501.3153,2019,Bayside
AUTOMOBILE,TOTAL,310135.6745,170395.781,2018,Bayside
BUS,TOTAL,10228.4868,5724.1097,2023,Bayside
BUS,TOTAL,6102.5888,3051.2944,2022,Bayside
BUS,TOTAL,4829.0335,2414.5168,2021,Bayside
BUS,TOTAL,10219.0894,5645.7293,2019,Bayside
BUS,TOTAL,6420.3799,3620.4105,2018,Bayside
MOTORCYCLE,TOTAL,1948.8424,974.4212,2021,Bayside
MOTORCYCLE,TOTAL,2149.3485,1074.6743,2020,Bayside
AUTOMOBILE,TOTAL,506404.1896,273668.8963,2023,Boroondara
AUTOMOBILE,TOTAL,512151.6439,277444.4218,2022,Boroondara
AUTOMOBILE,TOTAL,436399.5732,238223.2881,2021,Boroondara
AUTOMOBILE,TOTAL,352915.8589,193608.8715,2020,Boroondara
AUTOMOBILE,TOTAL,520005.5929,283035.1751,2019,Boroondara
AUTOMOBILE,TOTAL,499430.8761,273570.9321,2018,Boroondara
BUS,TOTAL,12148.4778,6074.2389,2023,Boroondara
BUS,TOTAL,7805.4236,3902.7118,2022,Boroondara
BUS,TOTAL,4513.7183,2256.8591,2021,Boroondara
